Ticker,Short Name,Market Cap,Sector,Industry,PE Ratio,Dividend Yield,Forward P/E Ratio,50日均差%,200日均差%,CurrentY成長,NextY成長,CurrentQ成長,NextQ成長
AAPL,Apple Inc.,4947135430656,technology,consumer-electronics,38.918484,0.0031237912,35.352398,0.058841974,0.18383253,0.1822,0.0864,0.0689,0.0228
ABBV,AbbVie Inc.,467367198720,healthcare,drug-manufacturers-general,74.71187,0.025875133,16.258144,0.035751645,0.1518981,0.4011,0.1611,1.0668,0.42720002
ABNB,"Airbnb, Inc.",99901399040,consumer-cyclical,travel-services,38.004555,0.0,26.966785,-0.001007122,0.17653085,0.3185,0.1753,0.2975,0.4954
ABT,Abbott Laboratories,178194890752,healthcare,medical-devices,33.326862,0.024169184,16.97813,-0.028650006,-0.021128228,0.0718,0.098900005,0.0919,0.0919
ACGL,Arch Capital Group Ltd.,32682924032,financial-services,insurance-diversified,7.4945226,0.0,9.822774,-0.036637556,-0.0051549524,-0.0475,0.0403,-0.3343,-0.1741
ACN,Accenture plc,113888542720,technology,information-technology-services,14.853153,0.035964478,12.681594,0.0884224,-0.070020095,0.0727,0.0581,0.05,0.0125
ADBE,Adobe Inc.,99184197632,technology,software-application,13.924108,0.0,9.01664,-0.025536334,-0.058373004,0.1691,0.1304,0.1512,0.2292
ADI,"Analog Devices, Inc.",185588580352,technology,semiconductors,45.486935,0.011418077,23.42777,0.025685485,0.082690835,0.65529996,0.2678,0.7032,0.5398
ADM,Archer-Daniels-Midland Company,40185790464,consumer-defensive,farm-products,22.78142,0.02418408,14.705156,0.010502538,0.13717963,0.6035,0.0309,0.703,0.5747
ADP,"Automatic Data Processing, Inc.",107237105664,technology,software-application,24.697163,0.024481969,20.147121,0.005721956,0.1348566,0.102299996,0.093100004,0.111899994,0.11359999
ADSK,"Autodesk, Inc.",45739651072,technology,software-application,28.348448,0.0,15.412634,-0.061550416,-0.10122091,0.2092,0.1258,0.14899999,0.1228
AEE,Ameren Corporation,28190949376,utilities,utilities-regulated-electric,17.927818,0.028563043,17.503782,-0.06113372,-0.055459157,0.0089,0.0809,-0.003,-0.2482
AEP,American Electric Power Company,65344016384,utilities,utilities-regulated-electric,20.802425,0.0315,17.505148,-0.05276067,-0.054234367,0.069,0.0744,0.0598,0.21129999
AES,The AES Corporation,10580295680,utilities,utilities-diversified,5.554307,0.04747134,6.256064,0.0038719454,0.013220344,-0.0225,0.0363,0.2387,-0.2642
AFL,AFLAC Incorporated,57744719872,financial-services,insurance-life,12.425026,0.02045904,15.272945,-0.04602089,0.0031768754,-0.0634,0.075,-0.28170002,0.0889
AIG,"American International Group, I",38976458752,financial-services,insurance-diversified,13.60219,0.02455861,8.4834585,-0.037425984,-0.036349542,0.1348,0.0921,-0.1808,0.0763
AIZ,"Assurant, Inc.",13681427456,financial-services,insurance-property-casualty,13.278124,0.01218864,11.836921,-0.016808346,0.11689916,0.1262,0.0525,-0.21040002,-0.0414
AJG,Arthur J. Gallagher & Co.,60652843008,financial-services,insurance-brokers,39.238804,0.011274428,15.88973,-0.06847777,0.012337727,0.2332,0.1295,0.3205,0.1844
AKAM,"Akamai Technologies, Inc.",16873767936,technology,software-infrastructure,42.539856,0.0,16.279158,0.029662998,0.06360239,-0.0598,0.0774,-0.096599996,-0.0155
ALB,Albemarle Corporation,13325130752,basic-materials,specialty-chemicals,418.2222,0.014606438,9.995353,-0.09910916,-0.27771583,15.6392,-0.0232,14.4689,5.1891
ALGN,"Align Technology, Inc.",10434334720,healthcare,medical-instruments-supplies,25.455807,0.0,11.704939,-0.11648895,-0.14083657,0.0744,0.1113,0.0698,-0.0187
ALL,Allstate Corporation (The),61409083392,financial-services,insurance-property-casualty,4.8630357,0.016651323,8.787661,-0.05930495,0.08597882,0.0124,-0.2163,-0.426,-0.3607
ALLE,Allegion plc,12871168000,industrials,security-protection-services,19.889618,0.013921723,15.4856825,-0.025613725,0.004709292,0.0996,0.092,0.0842,0.16450001
AMAT,"Applied Materials, Inc.",368419667968,technology,semiconductor-equipment-materials,40.020687,0.004453742,25.155527,-0.07359183,0.11525603,0.35819998,0.4424,0.8711,0.76379997
AMCR,Amcor plc,19487870976,consumer-cyclical,packaging-containers,17.710083,0.062052503,9.674821,-0.06692875,-0.014281775,0.1341,0.0791,,
AMD,"Advanced Micro Devices, Inc.",1004821020672,technology,semiconductors,157.02042,0.0,39.53068,0.24135074,0.73569703,0.8167,1.0553,0.6048,0.7332
AME,"AMETEK, Inc.",55304691712,industrials,specialty-industrial-machinery,35.267544,0.0054704593,25.167397,-0.000546912,0.058709115,0.1223,0.1494,0.11229999,0.0836
AMGN,Amgen Inc.,212554874880,healthcare,drug-manufacturers-general,24.450249,0.025411643,16.111597,-0.01776889,0.091056734,0.055,0.059,0.025,0.0968
AMP,"Ameriprise Financial, Inc.",47321866240,financial-services,asset-management,12.94948,0.011941285,10.368414,-0.02264209,0.08844659,0.1842,0.1105,0.195,0.1458
AMT,American Tower Corporation (REI,81356627968,real-estate,reit-specialty,24.016506,0.040119555,24.907135,0.0102904495,-0.016146766,0.2932,0.0038,-0.1008,-0.051799998
AMZN,"Amazon.com, Inc.",2787722657792,consumer-cyclical,internet-retail,20.792439,0.0,24.878569,0.010202534,0.07552728,0.79660004,-0.1873,-0.0019,0.2502
ANET,"Arista Networks, Inc.",259080781824,technology,computer-hardware,65.21269,0.0,39.599648,0.095400386,0.324318,0.3799,0.2615,0.4354,0.4
AON,Aon plc,61690322944,financial-services,insurance-brokers,16.023142,0.010333514,14.340265,-0.15840127,-0.13249674,0.0987,0.0813,0.1021,0.05
AOS,A.O. Smith Corporation,7741352448,industrials,specialty-industrial-machinery,15.866296,0.024934152,13.939226,-0.05977747,-0.12185299,-0.0287,0.0928,-0.0452,0.0696
APA,APA Corporation,15348900864,energy,oil-gas-e-p,9.242617,0.022286607,9.800457,0.09564991,0.2697797,0.6412,-0.2775,0.4702,0.57919997
APD,"Air Products and Chemicals, Inc",62231699456,basic-materials,specialty-chemicals,0.0,0.025336055,19.357393,-0.06550619,-0.016059535,0.1184,0.0731,0.0653,0.0995
APH,Amphenol Corporation,199052853248,technology,electronic-components,40.36,0.005905867,24.656137,0.009588105,0.09997368,0.5978,0.22690001,0.5514,0.52529997
APO,"Apollo Global Management, Inc. ",75536375808,financial-services,asset-management,45.519577,0.017035978,11.914398,-0.0057628136,0.0015527413,0.046,0.22479999,0.042,-0.0094
APP,Applovin Corporation,110917156864,communication-services,advertising-agencies,25.397694,0.0,15.736777,-0.075654276,-0.30536884,0.6062,0.2773,0.6448,0.38369998
APTV,Aptiv PLC,9046584320,consumer-cyclical,auto-parts,19.714931,0.0,6.655953,-0.13806406,-0.3297186,-0.26770002,0.1432,-0.38759997,-0.1249
ARE,Alexandria Real Estate Equities,9179561984,real-estate,reit-office,0.0,0.06529081,-65.85185,0.04890566,0.06341412,1.1732,,-1.0,
ARES,Ares Management Corporation,42026057728,financial-services,asset-management,58.105503,0.03990307,17.609514,-0.051916685,-0.04263732,0.22610001,0.2325,0.088199995,0.3778
ATO,Atmos Energy Corporation,26745819136,utilities,utilities-regulated-gas,18.886635,0.024142232,17.545319,-0.07342571,-0.09602379,0.1342,0.066199996,0.071100004,0.0766
